method,seed,intent_id,intent_name,feature_id,test_intent_support,active_test_ids,top_k_observed,top20_intent_purity,top20_locale_entropy,cross_locale_stability,heldout_auc,validation_auc,validation_stability,top_ids
BatchTopK SAE,20260827,0,datetime_query,3997,88,98,20,0.6,0.4689955935892812,0.5314099493993348,0.7722163036616161,0.7269855072463768,0.7026493309724713,4772|4112|3091|4881|3532|5333|944|660|4253|5997|3118|2801|4845|5332|4183|2412|5497|1202|5204|3606
BatchTopK SAE,20260827,1,iot_hue_lightchange,2787,36,96,20,0.8,0.8812908992306927,0.6360988249860465,0.8980455131120206,0.7463737201365187,0.874196565616898,1960|13069|4826|8|3387|263|3542|12329|4249|4248|3280|3543|2975|1427|3734|897|456|9942|2542|2551
BatchTopK SAE,20260827,2,transport_ticket,2107,35,40,20,0.8,0.6098403047164004,0.0854035484972263,0.7838147192051045,0.8905599117863268,0.8236950648383945,12873|12874|12162|12511|12308|12235|12724|12468|12604|12189|12340|12818|12293|5128|12802|12306|12722|12281|12537|7557
BatchTopK SAE,20260827,3,takeaway_query,8663,35,208,20,0.6,0.9927744539878083,0.3596335182461204,0.8108713652525449,0.8276255707762555,0.6765340341624881,2773|15464|2432|3413|2684|4934|4224|5324|15656|16373|170|171|5552|16399|16666|525|4272|3835|15839|169
BatchTopK SAE,20260827,4,qa_stock,3464,26,60,20,0.85,0.0,0.7964974416752034,0.9603357213826282,0.9282651310953197,0.7425636330531374,14644|14475|14904|14820|5016|14544|14342|13934|14926|14555|4606|451|14189|14874|13639|14253|13734|14473|14090|14190
BatchTopK SAE,20260827,5,general_greet,8911,1,30,20,0.0,0.9709505944546686,-0.004918497612174023,0.4949443882709808,0.4995748299319728,,6997|15561|9327|4492|3582|3492|5103|8430|12437|6489|6732|8300|6533|12127|16049|16624|16872|10684|13694|15995
BatchTopK SAE,20260827,6,recommendation_events,7104,43,252,20,0.65,0.8812908992306927,0.28446605904116273,0.8320135161995628,0.7816572460354844,0.4047684630025732,11839|12073|8431|10440|11643|11610|10687|11585|11598|11685|8822|11770|11782|2113|11767|6860|8029|7026|7113|10442
BatchTopK SAE,20260827,7,music_dislikeness,968,4,64,20,0.05,0.7219280948873623,0.009692917331348236,0.738950742240216,0.49872665534804755,-0.0020702747898523116,5152|11455|11259|11409|862|11438|7697|1127|2560|17052|2026|9895|13694|3103|7140|9074|9323|9761|9718|12606
BatchTopK SAE,20260827,8,iot_wemo_off,8291,18,8,8,0.5,0.0,0.0,0.6105838041431263,0.748937074829932,0.48879756652537876,5652|3298|321|2566|4799|1551|11438|11764
BatchTopK SAE,20260827,9,cooking_recipe,7572,72,126,20,0.95,0.9927744539878083,0.6728734797303463,0.8622309507366483,0.7458189655172415,0.7807179144396009,10217|10214|10100|10220|10226|10166|9941|9924|10045|10072|10077|10107|9961|10078|10031|13242|10038|14648|9942|10171
BatchTopK SAE,20260827,10,qa_currency,3667,39,192,20,0.95,0.28639695711595625,0.835987297245306,0.9997111116947238,0.9999639561707035,0.9216984504873792,14304|14620|13796|14599|14973|13738|281|14029|13567|13684|13847|14762|14453|13741|14928|13966|13685|14228|14437|13982
BatchTopK SAE,20260827,11,transport_traffic,6405,15,48,20,0.65,0.28639695711595625,0.6158808669351855,0.9657410542950672,0.9681325171821306,0.892311946724045,12736|12675|12717|12413|12869|12838|12685|12672|11650|12240|12442|6295|12254|12789|12693|12289|4482|13215|14457|12759
BatchTopK SAE,20260827,12,general_quirky,5016,169,26,20,0.2,0.9709505944546686,-0.004001356143939607,0.507993133642404,0.559077079107505,0.37325486035846833,6229|6388|6515|427|428|6417|2168|5396|4154|11186|3167|1962|13869|5156|19|7120|4921|16089|4346|1554
BatchTopK SAE,20260827,13,weather_query,9213,156,159,20,0.95,0.28639695711595625,0.8735915201722354,0.8985164314111682,0.9273073476702508,0.9236999238736224,3507|2917|2611|299|2545|2220|6473|5758|1308|4871|790|3407|3096|2890|4227|6151|2265|2322|4266|4383
BatchTopK SAE,20260827,14,audio_volume_up,7926,13,320,20,0.1,0.6098403047164004,0.576020080843151,0.8909540544058312,0.8737606837606837,0.6535614422601559,9361|9629|3101|9902|261|9250|258|9726|9305|9542|5707|2796|11376|4205|4040|9881|6439|5557|9632|3330
BatchTopK SAE,20260827,15,email_addcontact,553,12,89,20,0.15,0.0,0.19875636800133972,0.9066587731168246,0.9991496598639455,0.7393856729931981,11146|16225|15829|10956|10954|15948|16455|17090|16956|15946|17111|16955|16519|16777|16797|16781|16710|16711|15138|16872
BatchTopK SAE,20260827,16,takeaway_order,6584,22,33,20,0.4,0.0,0.3313641685583847,0.6786243288279948,0.8723244863013698,0.816281213400959,168|2480|3835|3671|2336|3021|132|5406|3020|5488|170|2338|2255|169|1379|1043|4137|171|2908|4048
BatchTopK SAE,20260827,17,email_querycontact,1943,26,71,20,0.5,0.9927744539878083,0.631238639001707,0.7434110756680437,0.5810502283105023,0.4429391952325096,16907|13154|16373|15815|16874|16529|16983|15982|4073|16583|16975|15488|11146|12182|426|16797|8188|3441|15983|4710
BatchTopK SAE,20260827,18,iot_hue_lightup,967,27,32,20,0.6,0.934068055375491,0.20792822892114374,0.8312050574886345,0.745433789954338,0.4351858997566972,3700|1756|3762|5727|3834|2403|3883|962|5165|3595|1071|3543|1993|2234|2128|4896|6015|1090|2075|702
