method,seed,intent_balanced_accuracy,intent_concept_auc,cross_locale_stability,intent_relation_margin,intent_retrieval_r1,locale_probe,intent_feature_fraction,locale_feature_fraction,primary_l0,total_l0,reconstruction_fve,zS_locale_probe,zS_intent_balanced_accuracy
Raw H,reference,0.08858298796178088,0.5823842916410102,0.07368319227340785,-0.44865648718040624,0.04919137466307277,1.0,0.052083333333333336,0.91796875,768.0,768.0,1.0,,
BatchTopK SAE,20260827,0.0768443386270331,0.5346226440746688,0.006271773389393537,-0.5641824433890825,0.0272911051212938,0.9909029649595688,0.1543079668992374,0.7892260262858998,64.0,64.0,0.7599832826101832,,
BatchTopK SAE,20260828,0.09018804433198242,0.5365959378106978,0.006697056491211581,-0.5775270973015002,0.036725067385444746,0.9922506738544474,0.1439675566069618,0.8011152416356877,64.0,64.0,0.7585448820391609,,
BatchTopK SAE,20260829,0.08966351348552938,0.5334199371612669,0.0065682783871963205,-0.5424616567200328,0.03975741239892183,0.9909029649595688,0.14964291645905994,0.7918950340475004,64.0,64.0,0.7592718401882628,,
Blockwise SAE control,20260827,0.05881883108711891,0.5215514672463712,0.009625495771510714,-0.5887936448038649,0.05761455525606469,0.9848382749326146,0.1599471249173827,0.7918043621943159,13.0,64.0,0.7582732468498563,0.9871967654986523,0.08730326930017113
Blockwise SAE control,20260828,0.05205154458769122,0.5182818117611907,0.00681440366685889,-0.5267983545993888,0.03605121293800539,0.9865229110512129,0.14630779848171152,0.8067632850241546,13.0,64.0,0.7574213086550915,0.9919137466307277,0.07629249954179265
Blockwise SAE control,20260829,0.0572228986315407,0.513830499125908,0.006014771223253464,-0.587361504867028,0.04784366576819407,0.9932614555256065,0.14295676429567644,0.806136680613668,13.0,64.0,0.7588470322712748,0.9929245283018868,0.08316713844243696
Reciprocal factor SAE,20260827,0.03973282893686125,0.5263599820112738,0.01976723013344773,-0.0818620614393563,0.04784366576819407,0.9787735849056604,0.17097306212204508,0.7652556349642661,13.0,64.0,0.706151346915133,0.9922506738544474,0.059632033948304144
Reciprocal factor SAE,20260828,0.049533847949545684,0.5163052659631686,0.022806294285517885,-0.07555342214767868,0.05390835579514825,0.97911051212938,0.1876391982182628,0.7555679287305123,13.0,64.0,0.7095719782692584,0.9952830188679245,0.06736156364517387
Reciprocal factor SAE,20260829,0.0515201421758779,0.5253087039110119,0.02064658016163607,-0.10636572684664442,0.051549865229110516,0.9797843665768194,0.1789416257501364,0.7605019094380796,13.0,64.0,0.702154670718889,0.9935983827493261,0.04715879689144882
