fact_id,C_domain,C_relation,C_subject_id,C_subject_label,C_value_id,C_value_label,C_subject_type,C_value_type,source_name,source_record_id,source_provenance,C_split,example_id,S_family,S_variant,S_split,text,generator,template_version,generation_seed
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-declarative-v1,declarative,v1,S_train,Liberia is in Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-declarative-v2,declarative,v2,S_train,Liberia lies in Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-declarative-v3,declarative,v3,S_train,Africa includes Liberia.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-question-v1,question,v1,S_train,Which continent is Liberia in? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-question-v2,question,v2,S_train,Liberia belongs to which continent? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-question-v3,question,v3,S_train,What continent contains Liberia? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-paraphrase-v1,paraphrase,v1,S_train,The continent containing Liberia is Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-paraphrase-v2,paraphrase,v2,S_train,Liberia is part of Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-paraphrase-v3,paraphrase,v3,S_train,"For Liberia, the relevant continent is Africa.",code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-formal-v1,formal,v1,S_test,Country: Liberia. Continent: Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-formal-v2,formal,v2,S_test,Continent — Africa; country — Liberia.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-continent_of,geography,continent_of,Q1014,Liberia,Q15,Africa,country,continent,Wikidata,wd:Q1014:P30,https://www.wikidata.org/wiki/Q1014#P30,C_train,geography-Q1014-continent_of-structured-v1,structured,v1,S_test,"{""continent"": ""Africa"", ""country"": ""Liberia""}",code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-declarative-v1,declarative,v1,S_train,Liberia uses the Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-declarative-v2,declarative,v2,S_train,The Liberian dollar is used in Liberia.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-declarative-v3,declarative,v3,S_train,Liberia's currency is the Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-question-v1,question,v1,S_train,Which currency does Liberia use? Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-question-v2,question,v2,S_train,What currency is used in Liberia? Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-question-v3,question,v3,S_train,Liberia uses which currency? Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-paraphrase-v1,paraphrase,v1,S_train,"For Liberia, the currency is the Liberian dollar.",code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1014-currency_of,geography,currency_of,Q1014,Liberia,Q242988,Liberian dollar,country,currency,Wikidata,wd:Q1014:P38,https://www.wikidata.org/wiki/Q1014#P38,C_train,geography-Q1014-currency_of-paraphrase-v2,paraphrase,v2,S_train,The currency associated with Liberia is the Liberian dollar.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
