fact_id,C_domain,C_relation,C_subject_id,C_subject_label,C_value_id,C_value_label,C_subject_type,C_value_type,source_name,source_record_id,source_provenance,C_split,example_id,S_family,S_variant,S_split,text,generator,template_version,generation_seed
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-declarative-v1,declarative,v1,S_train,The Gambia is in Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-declarative-v2,declarative,v2,S_train,The Gambia lies in Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-declarative-v3,declarative,v3,S_train,Africa includes The Gambia.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-question-v1,question,v1,S_train,Which continent is The Gambia in? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-question-v2,question,v2,S_train,The Gambia belongs to which continent? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-question-v3,question,v3,S_train,What continent contains The Gambia? Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-paraphrase-v1,paraphrase,v1,S_train,The continent containing The Gambia is Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-paraphrase-v2,paraphrase,v2,S_train,The Gambia is part of Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-paraphrase-v3,paraphrase,v3,S_train,"For The Gambia, the relevant continent is Africa.",code/generate_controlled_surface_dataset.py,surface-v2,20260825
geography-Q1005-continent_of,geography,continent_of,Q1005,The Gambia,Q15,Africa,country,continent,Wikidata,wd:Q1005:P30,https://www.wikidata.org/wiki/Q1005#P30,C_train,geography-Q1005-continent_of-formal-v1,formal,v1,S_test,Country: The Gambia. Continent: Africa.,code/generate_controlled_surface_dataset.py,surface-v2,20260825
