epoch=1/100 train_MSE=24.576963
epoch=2/100 train_MSE=23.366906
epoch=3/100 train_MSE=22.375203
epoch=4/100 train_MSE=21.456551
epoch=5/100 train_MSE=20.583011
epoch=6/100 train_MSE=19.743268
epoch=7/100 train_MSE=18.932210
epoch=8/100 train_MSE=18.147216
epoch=9/100 train_MSE=17.386554
epoch=10/100 train_MSE=16.649678
epoch=11/100 train_MSE=15.936245
epoch=12/100 train_MSE=15.245462
epoch=13/100 train_MSE=14.577461
epoch=14/100 train_MSE=13.931960
epoch=15/100 train_MSE=13.308844
epoch=16/100 train_MSE=12.707961
epoch=17/100 train_MSE=12.129248
epoch=18/100 train_MSE=11.572392
epoch=19/100 train_MSE=11.037230
epoch=20/100 train_MSE=10.523565
epoch=21/100 train_MSE=10.031426
epoch=22/100 train_MSE=9.560976
epoch=23/100 train_MSE=9.111423
epoch=24/100 train_MSE=8.682989
epoch=25/100 train_MSE=8.275312
epoch=26/100 train_MSE=7.888271
epoch=27/100 train_MSE=7.521405
epoch=28/100 train_MSE=7.174512
epoch=29/100 train_MSE=6.847601
epoch=30/100 train_MSE=6.540103
epoch=31/100 train_MSE=6.251635
epoch=32/100 train_MSE=5.981915
epoch=33/100 train_MSE=5.730578
epoch=34/100 train_MSE=5.497040
epoch=35/100 train_MSE=5.280478
epoch=36/100 train_MSE=5.080142
epoch=37/100 train_MSE=4.895049
epoch=38/100 train_MSE=4.724498
epoch=39/100 train_MSE=4.567724
epoch=40/100 train_MSE=4.423329
epoch=41/100 train_MSE=4.290518
epoch=42/100 train_MSE=4.168528
epoch=43/100 train_MSE=4.056279
epoch=44/100 train_MSE=3.952740
epoch=45/100 train_MSE=3.857064
epoch=46/100 train_MSE=3.768252
epoch=47/100 train_MSE=3.685420
epoch=48/100 train_MSE=3.607896
epoch=49/100 train_MSE=3.535230
epoch=50/100 train_MSE=3.466738
epoch=51/100 train_MSE=3.401991
epoch=52/100 train_MSE=3.340540
epoch=53/100 train_MSE=3.282007
epoch=54/100 train_MSE=3.226051
epoch=55/100 train_MSE=3.172442
epoch=56/100 train_MSE=3.120926
epoch=57/100 train_MSE=3.071299
epoch=58/100 train_MSE=3.023433
epoch=59/100 train_MSE=2.977208
epoch=60/100 train_MSE=2.932425
epoch=61/100 train_MSE=2.889105
epoch=62/100 train_MSE=2.847150
epoch=63/100 train_MSE=2.806468
epoch=64/100 train_MSE=2.766948
epoch=65/100 train_MSE=2.728569
epoch=66/100 train_MSE=2.691306
epoch=67/100 train_MSE=2.655086
epoch=68/100 train_MSE=2.619889
epoch=69/100 train_MSE=2.585651
epoch=70/100 train_MSE=2.552329
epoch=71/100 train_MSE=2.519907
epoch=72/100 train_MSE=2.488333
epoch=73/100 train_MSE=2.457581
epoch=74/100 train_MSE=2.427619
epoch=75/100 train_MSE=2.398416
epoch=76/100 train_MSE=2.369950
epoch=77/100 train_MSE=2.342249
epoch=78/100 train_MSE=2.315261
epoch=79/100 train_MSE=2.288961
epoch=80/100 train_MSE=2.263335
epoch=81/100 train_MSE=2.238368
epoch=82/100 train_MSE=2.214036
epoch=83/100 train_MSE=2.190313
epoch=84/100 train_MSE=2.167221
epoch=85/100 train_MSE=2.144734
epoch=86/100 train_MSE=2.122855
epoch=87/100 train_MSE=2.101564
epoch=88/100 train_MSE=2.080834
epoch=89/100 train_MSE=2.060655
epoch=90/100 train_MSE=2.041031
epoch=91/100 train_MSE=2.021945
epoch=92/100 train_MSE=2.003389
epoch=93/100 train_MSE=1.985353
epoch=94/100 train_MSE=1.967802
epoch=95/100 train_MSE=1.950787
epoch=96/100 train_MSE=1.934293
epoch=97/100 train_MSE=1.918278
epoch=98/100 train_MSE=1.902767
epoch=99/100 train_MSE=1.887703
epoch=100/100 train_MSE=1.873080
{
  "scope": {
    "frozen_Gemma_layer": 8,
    "pooling": "masked mean",
    "frozen_partition": "checkpoint/massive_partition_layer8.pt",
    "z_C_dimension": 128,
    "decoder": "Linear(128,2304)",
    "decoder_only_training": true,
    "SAE_trained": false,
    "ConCA_trained": false,
    "GemmaScope_trained": false
  },
  "canonical_surface": {
    "locale": "en-US"
  },
  "split": {
    "decoder_train": "49 seen-language published train rows except en-US",
    "heldout_evaluation": "Arabic and Chinese published test rows",
    "train_rows": 551616,
    "heldout_rows": 5936,
    "heldout_ids": 2968
  },
  "training": {
    "epochs": 100,
    "optimizer": "Adam(lr=0.001)",
    "loss": "MSE(D_C(z_C(id,other seen language)), H(id,en-US))",
    "final_train_MSE": 1.8730801139147943
  },
  "heldout_metrics": {
    "all_heldout": {
      "decoded_MSE": {
        "mean": 2.5543837547302246,
        "std": 4.435912609100342
      },
      "decoded_cosine": {
        "mean": 0.9825361967086792,
        "std": 0.01673746667802334
      },
      "raw_to_English_cosine": {
        "mean": 0.9650301337242126,
        "std": 0.01755456253886223
      },
      "cosine_improvement": {
        "mean": 0.017506057396531105,
        "std": 0.017704958096146584,
        "fraction_positive": 0.9494609164420486
      },
      "activation_norms": {
        "raw_H": {
          "mean": 223.60487365722656,
          "std": 88.51093292236328
        },
        "English_canonical_H_C": {
          "mean": 231.53457641601562,
          "std": 83.09513092041016
        },
        "decoded_H_C_prime": {
          "mean": 229.3801727294922,
          "std": 78.21451568603516
        }
      }
    },
    "ar-SA": {
      "decoded_MSE": {
        "mean": 3.0248372554779053,
        "std": 5.282161712646484
      },
      "decoded_cosine": {
        "mean": 0.9822075963020325,
        "std": 0.01410018652677536
      },
      "raw_to_English_cosine": {
        "mean": 0.9572916626930237,
        "std": 0.018370280042290688
      },
      "cosine_improvement": {
        "mean": 0.024915844202041626,
        "std": 0.015795137733221054,
        "fraction_positive": 0.9737196765498652
      },
      "activation_norms": {
        "raw_H": {
          "mean": 202.6171417236328,
          "std": 85.45680236816406
        },
        "English_canonical_H_C": {
          "mean": 231.53457641601562,
          "std": 83.09513092041016
        },
        "decoded_H_C_prime": {
          "mean": 250.75538635253906,
          "std": 77.16754913330078
        }
      }
    },
    "zh-CN": {
      "decoded_MSE": {
        "mean": 2.083930015563965,
        "std": 3.3182451725006104
      },
      "decoded_cosine": {
        "mean": 0.9828647375106812,
        "std": 0.019006691873073578
      },
      "raw_to_English_cosine": {
        "mean": 0.9727686047554016,
        "std": 0.012613185681402683
      },
      "cosine_improvement": {
        "mean": 0.010096268728375435,
        "std": 0.01635955087840557,
        "fraction_positive": 0.9252021563342318
      },
      "activation_norms": {
        "raw_H": {
          "mean": 244.5926513671875,
          "std": 86.51319885253906
        },
        "English_canonical_H_C": {
          "mean": 231.53457641601562,
          "std": 83.09513092041016
        },
        "decoded_H_C_prime": {
          "mean": 208.00497436523438,
          "std": 73.25566864013672
        }
      }
    }
  },
  "artifacts": {
    "checkpoint": "checkpoint\\massive_zc_to_english_h_decoder_layer8.pt",
    "arrays": "data\\massive_decoder_artifacts"
  }
}
