intent,feature_id,seen_selection_margin,heldout_auc,heldout_balanced_accuracy,heldout_false_positive_rate,heldout_language_auc,heldout_language_leakage,arabic_chinese_stability_correlation
0,8013,2.627087155095479,0.7633710148358583,0.7255997474747475,0.2590277777777778,0.534618364077564,0.06923672815512805,0.582659608060221
1,1494,7.177479189214668,0.9172966878884342,0.9117117629225406,0.03768758526603001,0.5007641028109358,0.0015282056218715034,0.7413856138811419
2,7768,6.474127578235186,0.8325386001656032,0.8285543811796795,0.014319809069212411,0.4920567817728729,0.01588643645425425,0.4468817954221086
3,3843,3.3715081621118967,0.8327042033997369,0.8244459597681555,0.03682236617797477,0.5137209298101584,0.027441859620316755,0.45118841521475167
4,9035,7.346579484768808,0.9701864247241542,0.967924750300685,0.00645819170632223,0.5014781433221206,0.0029562866442411906,0.9267355074622373
5,4728,9.298078365348706,0.9024266936299292,0.7672733400741489,0.4654533198517021,0.39135833890337907,0.21728332219324187,0.47737713161482415
6,4074,3.4870762684140675,0.8414152256012721,0.825764261578215,0.06940170940170941,0.4965904281791036,0.006819143641792813,0.5489590178810475
7,4863,6.743284083083436,0.8886007085020243,0.8938933873144399,0.08721322537112011,0.4883275377612776,0.02334492447744485,0.7096533117546694
8,4330,4.255882626896971,0.7904566854990586,0.7899717514124294,0.003389830508474576,0.49813191563560283,0.0037361687287943424,0.4590209911492347
9,795,4.408105400937682,0.9161043489103745,0.9041877685696746,0.03884668508287293,0.4821187909125914,0.03576241817481718,0.6331745975321331
10,2711,12.879270167401295,0.9998336703696895,0.9980368726527825,0.003926254694434961,0.49810171932781655,0.0037965613443669,0.8755820105169633
11,4945,6.312685937871917,0.765656394626933,0.7646348346314482,0.004063664070436844,0.500322453429574,0.0006449068591480867,0.555114897061379
12,4728,1.5323096696683818,0.5439469083421594,0.5293141464301494,0.3319042515183994,0.39135833890337907,0.21728332219324187,0.47737713161482415
13,5386,4.999129269773611,0.8382800817011343,0.8364541160593792,0.006578947368421052,0.49521252297643875,0.009574954047122497,0.809604048815053
14,8049,3.6764474162167566,0.855739945333854,0.8499869842509435,0.030795262267343484,0.49175799725372527,0.01648400549254947,0.5665716702443426
15,7886,5.279418111573908,0.6965634866937302,0.695055254848895,0.02655615696887686,0.4886826281776506,0.02263474364469875,0.44856504352202314
16,3843,3.7945335652862378,0.874448404616429,0.8667607850398074,0.03920570264765784,0.5137209298101584,0.027441859620316755,0.45118841521475167
17,7558,2.624723503502475,0.6591735083407415,0.6580230612351619,0.010876954452753228,0.4968293876824492,0.006341224635101561,0.45855899924811205
18,1494,9.077554299588138,0.9670841361592806,0.9618453033107912,0.03927235634138048,0.5007641028109358,0.0015282056218715034,0.7413856138811419
19,5612,2.803723418774897,0.9015700682065309,0.8888184124682856,0.0449438202247191,0.51267847607181,0.025356952143620104,0.6512941023980923
20,6428,2.9171298354620543,0.7985950819535527,0.7938599415034122,0.022036214554151008,0.5072324697946106,0.014464939589221126,0.6470790978768881
21,1270,5.028315586507662,0.9234719559489105,0.8946980241790757,0.12086036189825879,0.5275736562870076,0.05514731257401517,0.7326736339079065
22,6120,4.999065395089351,0.8494744169955992,0.8346093643664081,0.04852320675105485,0.5325029764931961,0.06500595298639222,0.7691259269068614
23,8810,4.092088909606344,0.8021773126428485,0.8000471149605036,0.017552828902522154,0.49203634818113795,0.0159273036377241,0.3337612172765684
24,4330,4.235433386369559,0.7228025693035834,0.7222954699121028,0.005409060175794456,0.49813191563560283,0.0037361687287943424,0.4590209911492347
25,7124,8.294902133805971,0.9599552033695633,0.956457139797612,0.008138351983723296,0.5008292632645797,0.001658526529159321,0.7756130193035194
26,4544,2.792036261336182,0.683701266219482,0.6835234771917771,0.0013740982480247338,0.49931564495680797,0.0013687100863840618,0.5917021320958945
27,437,3.8702081858970487,0.835023785253143,0.8307169554875977,0.03856608902480462,0.49135585281638466,0.017288294367230672,0.7867222787008115
28,4863,3.588312429607776,0.9090845149673644,0.904062570335359,0.10854152599594868,0.4883275377612776,0.02334492447744485,0.7096533117546694
30,764,4.089712273262301,0.9027580556370167,0.8717966527239707,0.11461564977593933,0.5014992012736031,0.0029984025472062914,0.6740860595423359
31,1494,8.568930139587653,0.9365779565983162,0.9315971043999547,0.04156769596199525,0.5007641028109358,0.0015282056218715034,0.7413856138811419
32,4370,1.8662710854001936,0.624268693520101,0.5948862303542106,0.3221323011963406,0.4931986222310212,0.013602755537957645,0.5496091375346518
33,8395,4.350609973452389,0.9311584848596615,0.9237174049349021,0.04730203223545901,0.48872684419976603,0.02254631160046794,0.8369567110423951
34,6569,7.44335340916096,0.9028885373633845,0.8996823197197092,0.00832766825288919,0.5002868081639918,0.0005736163279836948,0.8170717422155
35,4604,4.516058773784847,0.836309066314139,0.8284809542841332,0.024856273249915455,0.4999721308512725,5.573829745497694e-05,0.414327065340106
36,5191,4.516144355407187,0.8547829381522406,0.8515960712093309,0.012085635359116022,0.502739577051896,0.005479154103791961,0.5835069952787385
38,6280,5.86334245245161,0.9116040185122475,0.9063381871543064,0.020656959024720624,0.49109912744022494,0.017801745119550128,0.7749499161982956
39,1679,4.814911924547598,0.9392830445124023,0.926129799524295,0.04774040095141013,0.48404942477168855,0.031901150456622895,0.42231834684459807
40,1494,8.034238767443188,0.9248340290200755,0.9241681574239714,0.03538461538461538,0.5007641028109358,0.0015282056218715034,0.7413856138811419
41,1494,8.699201294562702,0.9718662169758291,0.9766441821247892,0.04671163575042159,0.5007641028109358,0.0015282056218715034,0.7413856138811419
42,8174,6.3008313718366535,0.76870626550243,0.7669678087210201,0.015083990401097017,0.5010846264012903,0.0021692528025805125,0.7364919063524189
43,4863,5.637222127184658,0.8948006669698347,0.8819539184477794,0.09720327421555253,0.4883275377612776,0.02334492447744485,0.7096533117546694
44,8395,4.273027010243389,0.8925898369175681,0.8939359527594821,0.04826254826254826,0.48872684419976603,0.02254631160046794,0.8369567110423951
45,4863,4.585897466894309,0.8721458631805158,0.8623705717634801,0.06787249283667622,0.4883275377612776,0.02334492447744485,0.7096533117546694
46,4728,4.189958147304591,0.7217674982970028,0.608566076294278,0.5953678474114441,0.39135833890337907,0.21728332219324187,0.47737713161482415
47,437,4.552995714759729,0.8805217727830589,0.8739389429840878,0.023727052303429166,0.49135585281638466,0.017288294367230672,0.7867222787008115
48,8742,4.513059453642214,0.865205779662853,0.8458964893714533,0.11308507003758114,0.47325049857963836,0.053499002840723286,0.6042636777722818
49,8013,2.280302807257499,0.7676558615378054,0.7353000574500699,0.298903431199151,0.534618364077564,0.06923672815512805,0.582659608060221
50,4022,1.5140726272839649,0.6645779536653422,0.661466778581103,0.04548749546937296,0.49254378237589086,0.014912435248218281,0.739148654281188
51,3970,8.395334347860743,0.8736739564560907,0.8506137061029662,0.05591544493692465,0.5025912064719088,0.005182412943817605,0.6818431495623053
52,8810,3.2505948543197607,0.7306219399873964,0.7274912340233005,0.021208008143875128,0.49203634818113795,0.0159273036377241,0.3337612172765684
53,764,4.902010074734722,0.9667904861770602,0.933107787274454,0.10493827160493827,0.5014992012736031,0.0029984025472062914,0.6740860595423359
54,5898,10.159203966018843,0.9230862921680076,0.9201778991658669,0.007470288624787776,0.4937863717932883,0.012427256413423349,0.7518827999363491
55,9037,6.835888683532732,0.9344810040705562,0.9260515603799186,0.022896879240162822,0.49880213744451146,0.002395725110977076,0.7864069998888037
56,9040,11.13191564714302,0.9788137600424436,0.9747328331059573,0.008867667121418827,0.4995059611598288,0.0009880776803423696,0.9311073233652567
57,4863,6.28704274948004,0.9021601480687741,0.8820320490964881,0.09307875894988067,0.4883275377612776,0.02334492447744485,0.7096533117546694
58,7141,5.196651054088069,0.8469401415184548,0.8436125454197743,0.011187607573149742,0.49206268481048526,0.015874630379029475,0.7053699599917741
59,1270,6.141587542603832,0.9197217796957659,0.8895823670572103,0.10318820706205005,0.5275736562870076,0.05514731257401517,0.7326736339079065
