locale,same,shuffled,delta
af-ZA,0.6153096579786005,0.47927898605322017,0.13603067192538032
am-ET,0.37742253470009773,0.35120932937696064,0.026213205323137086
az-AZ,0.5014756817756028,0.43526829856223076,0.06620738321337206
bn-BD,0.47987789635000555,0.3989439668326542,0.08093392951735134
cy-GB,0.480588365217735,0.44086492652523107,0.039723438692503964
da-DK,0.6643382339128132,0.4940570053355447,0.17028122857726855
de-DE,0.6785400201534403,0.5019883631632246,0.1765516569902157
el-GR,0.5388638246162184,0.41947787897340183,0.11938594564281661
es-ES,0.7186424721931589,0.519853473737322,0.19878899845583686
fa-IR,0.5690373816880686,0.46273349148446113,0.10630389020360749
fi-FI,0.5728410883196469,0.4600819616482176,0.11275912667142934
fr-FR,0.6941848448638258,0.507175649548399,0.18700919531542678
he-IL,0.550719511406175,0.44260311640542127,0.10811639500075373
hi-IN,0.5639005603975263,0.4501836096932148,0.11371695070431151
hu-HU,0.5748254795526636,0.4618193268262107,0.11300615272645292
hy-AM,0.4401875528795966,0.38076911095915167,0.05941844192044488
id-ID,0.6729585405053764,0.5216388450614338,0.15131969544394264
is-IS,0.4867012171909727,0.42992990335513803,0.056771313835834634
it-IT,0.6599084878789967,0.5023463268218369,0.1575621610571598
ja-JP,0.6302510833945768,0.506292855174377,0.12395822822019972
jv-ID,0.5253000971058319,0.46520791485391816,0.060092182251913796
ka-GE,0.39262911574593906,0.3480842316458965,0.044544884100042544
km-KH,0.3098009263390097,0.2864386757899975,0.02336225054901222
kn-IN,0.4245666892364107,0.3656497708168523,0.05891691841955843
ko-KR,0.5538523423260656,0.45961845075262003,0.09423389157344556
lv-LV,0.5146231127196345,0.4387085674137905,0.07591454530584402
ml-IN,0.4392591925530598,0.3718185142196458,0.06744067833341401
mn-MN,0.4071634601930092,0.39329859408838996,0.013864866104619256
ms-MY,0.6382069353913439,0.5049202313710903,0.13328670402025355
my-MM,0.3377974757860447,0.31956771928174743,0.018229756504297256
nb-NO,0.6579344740201687,0.49444173199349434,0.16349274202667433
nl-NL,0.6896000293822124,0.5108316147635723,0.1787684146186401
pl-PL,0.6427688791320242,0.4993418067179877,0.14342707241403646
pt-PT,0.6831509591690426,0.5132372659342043,0.1699136932348383
ro-RO,0.6115630443753868,0.48623108889522226,0.1253319554801645
ru-RU,0.6709207347754774,0.51151270059676,0.15940803417871738
sl-SL,0.5688892590074703,0.46293432830736553,0.10595493070010481
sq-AL,0.4996470367086345,0.4398871148968565,0.05975992181177797
sv-SE,0.6720648469596073,0.5034855285595203,0.16857931840008702
sw-KE,0.516571778932522,0.4529444580448085,0.0636273208877136
ta-IN,0.4609161700154173,0.3910714339079528,0.0698447361074645
te-IN,0.4430965082398776,0.37905413940035065,0.06404236883952699
th-TH,0.5581091493368149,0.4458909432949691,0.11221820604184578
tl-PH,0.5846310486567432,0.47314967677511016,0.11148137188163297
tr-TR,0.596424672367244,0.48203308006812784,0.11439159229911607
ur-PK,0.48179179686924506,0.41216853183918983,0.06962326503005521
vi-VN,0.5691593420402757,0.4521278114668254,0.11703153057345028
zh-TW,0.671274337789108,0.5183991890015274,0.15287514878758068
